Date,DAX,CAC40
10.07.2015,11315.62988,4903.069824
09.07.2015,10996.41016,4757.220215
08.07.2015,10747.29981,4639.02002
07.07.2015,10676.78027,4604.640137
06.07.2015,10890.62988,4711.540039
03.07.2015,11058.38965,4808.220215
02.07.2015,11099.34961,4835.560059
01.07.2015,11180.5,4883.189941
30.06.2015,10944.96973,4790.200195
29.06.2015,11083.2002,4869.819824
26.06.2015,11492.42969,5059.169922
25.06.2015,11473.12988,5041.709961
24.06.2015,11471.25977,5045.350098
23.06.2015,11542.54004,5057.680176
22.06.2015,11460.5,4998.609863
19.06.2015,11040.09961,4815.370117
18.06.2015,11100.29981,4803.47998
17.06.2015,10978.00977,4790.620117
16.06.2015,11044.00977,4839.859863
15.06.2015,10984.96973,4815.359863
12.06.2015,11196.49023,4901.189941
11.06.2015,11332.78027,4971.370117
10.06.2015,11265.38965,4934.910156
09.06.2015,11001.29004,4850.220215
08.06.2015,11064.91992,4857.660156
05.06.2015,11197.15039,4920.740234
04.06.2015,11340.59961,4987.129883
03.06.2015,11419.62012,5034.169922
02.06.2015,11328.79981,5004.459961
01.06.2015,11436.04981,5025.299805
29.05.2015,11413.82031,5007.890137
28.05.2015,11677.57031,5137.830078
27.05.2015,11771.12988,5182.529785
26.05.2015,11625.12988,5083.540039
25.05.2015,11815.00977,5117.169922
22.05.2015,11864.58984,5142.890137
21.05.2015,11848.46973,5146.700195
20.05.2015,11853.33008,5133.299805
19.05.2015,11594.28027,5117.299805
18.05.2015,11447.03027,5012.310059
15.05.2015,11559.82031,4993.819824
14.05.2015,11351.45996,5029.310059
13.05.2015,11472.41016,4961.859863
12.05.2015,11673.34961,4974.649902
11.05.2015,11709.73047,5027.870117
08.05.2015,11407.96973,5090.390137
07.05.2015,11350.15039,4967.220215
06.05.2015,11327.67969,4981.589844
05.05.2015,11619.84961,4974.069824
04.05.2015,11454.37988,5081.970215
30.04.2015,11432.71973,5046.490234
29.04.2015,11811.66016,5039.390137
28.04.2015,12039.16016,5173.379883
27.04.2015,11810.84961,5268.910156
24.04.2015,11723.58008,5201.450195
23.04.2015,11867.37012,5178.910156
22.04.2015,11939.58008,5211.089844
21.04.2015,11891.91016,5192.640137
20.04.2015,11688.7002,5187.589844
17.04.2015,11998.86035,5143.259766
16.04.2015,12231.33984,5224.490234
15.04.2015,12227.59961,5254.350098
14.04.2015,12338.73047,5218.060059
13.04.2015,12374.73047,5254.120117
10.04.2015,12166.44043,5240.459961
09.04.2015,12035.86035,5208.950195
08.04.2015,12123.51953,5136.859863
07.04.2015,11967.38965,5151.189941
02.04.2015,12001.37988,5074.140137
01.04.2015,11966.16992,5062.220215
31.03.2015,12086.00977,5033.640137
30.03.2015,11868.33008,5083.52002
27.03.2015,11843.67969,5034.060059
26.03.2015,11865.32031,5006.350098
25.03.2015,12005.69043,5020.990234
24.03.2015,11895.83984,5088.279785
23.03.2015,12039.37012,5054.52002
20.03.2015,11899.40039,5087.490234
19.03.2015,11922.76953,5037.180176
18.03.2015,11980.84961,5033.419922
17.03.2015,12167.71973,5028.930176
16.03.2015,11901.61035,5061.160156
13.03.2015,11799.38965,5010.459961
12.03.2015,11805.99023,4987.330078
11.03.2015,11500.37988,4997.75
10.03.2015,11582.11035,4881.950195
09.03.2015,11550.96973,4937.200195
06.03.2015,11504.00977,4964.350098
05.03.2015,11390.37988,4963.509766
04.03.2015,11280.36035,4917.350098
03.03.2015,11410.36035,4869.25
02.03.2015,11401.66016,4917.319824
27.02.2015,11327.19043,4951.47998
26.02.2015,11210.26953,4910.620117
25.02.2015,11205.74023,4882.220215
24.02.2015,11130.91992,4886.439941
23.02.2015,11050.63965,4862.299805
20.02.2015,11001.94043,4830.899902
19.02.2015,10961,4833.279785
18.02.2015,10895.62012,4799.029785
17.02.2015,10923.23047,4753.990234
16.02.2015,10963.40039,4751.950195
13.02.2015,10919.65039,4759.359863
12.02.2015,10752.11035,4726.200195
11.02.2015,10753.83008,4679.379883
10.02.2015,10663.50977,4695.649902
09.02.2015,10846.38965,4651.080078
06.02.2015,10905.41016,4691.029785
05.02.2015,10911.32031,4703.299805
04.02.2015,10890.9502,4696.299805
03.02.2015,10828.00977,4677.899902
02.02.2015,10694.32031,4627.669922
30.01.2015,10737.87012,4604.25
29.01.2015,10710.96973,4631.430176
28.01.2015,10628.58008,4610.939941
27.01.2015,10798.33008,4624.209961
26.01.2015,10649.58008,4675.129883
23.01.2015,10435.62012,4640.689941
22.01.2015,10299.23047,4552.799805
21.01.2015,10257.12988,4484.819824
20.01.2015,10242.34961,4446.02002
19.01.2015,10167.76953,4394.930176
16.01.2015,10032.61035,4379.620117
15.01.2015,9817.080078,4323.200195
14.01.2015,9941,4223.240234
13.01.2015,9781.900391,4290.279785
12.01.2015,9648.5,4228.240234
09.01.2015,9837.610352,4179.069824
08.01.2015,9518.179688,4260.189941
07.01.2015,9469.660156,4112.72998
06.01.2015,9473.160156,4083.5
05.01.2015,9764.730469,4111.359863
02.01.2015,9805.549805,4252.290039
31.12.2014,9927.129883,4272.75
30.12.2014,9922.110352,4245.540039
29.12.2014,9865.759766,4317.930176
24.12.2014,9786.959961,4295.850098
23.12.2014,9811.05957,4314.970215
22.12.2014,9544.429688,4254.430176
19.12.2014,9563.889648,4241.649902
18.12.2014,9334.009766,4249.490234
17.12.2014,9594.730469,4111.910156
16.12.2014,9862.530273,4093.199951
15.12.2014,9799.730469,4005.379883
12.12.2014,9793.709961,4108.930176
11.12.2014,10014.99023,4225.859863
10.12.2014,10087.12012,4227.910156
09.12.2014,9851.349609,4263.939941
08.12.2014,9971.790039,4375.47998
05.12.2014,9934.080078,4419.47998
04.12.2014,9963.509766,4323.890137
03.12.2014,9980.849609,4391.859863
02.12.2014,9974.870117,4388.299805
01.12.2014,9915.55957,4377.330078
28.11.2014,9861.209961,4390.180176
27.11.2014,9785.540039,4382.339844
26.11.2014,9732.549805,4373.419922
25.11.2014,9483.969727,4382.310059
24.11.2014,9472.799805,4368.439941
21.11.2014,9456.530273,4347.22998
20.11.2014,9306.349609,4234.209961
19.11.2014,9252.94043,4266.189941
18.11.2014,9248.509766,4262.379883
17.11.2014,9210.959961,4226.100098
14.11.2014,9369.030273,4202.459961
13.11.2014,9351.870117,4187.950195
12.11.2014,9291.830078,4179.879883
11.11.2014,9377.410156,4244.100098
10.11.2014,9315.480469,4222.819824
07.11.2014,9166.469727,4189.890137
06.11.2014,9251.700195,4227.680176
05.11.2014,9326.870117,4208.419922
04.11.2014,9114.839844,4130.189941
03.11.2014,9082.80957,4194.029785
31.10.2014,9068.19043,4233.089844
30.10.2014,8902.610352,4141.240234
29.10.2014,8987.799805,4110.640137
28.10.2014,9047.30957,4112.669922
27.10.2014,8940.139648,4096.740234
24.10.2014,8886.959961,4128.899902
23.10.2014,8717.759766,4157.680176
22.10.2014,8850.269531,4105.089844
21.10.2014,8582.900391,4081.23999
