Date;BOISE;CONED;CONTIL;CITCRP;DATGEN;DEC;DELTA;GENMIL;GERBER;IBM;MOBIL;PANAM;PSNH;TANDY;TEXACO;WEYER;DOW;DUPONT;GPU;MOTOR;CONOCO;MARKET;RKFREE;GOLD;POIL;FRBIND;CPI
1977-12;;;;;;;;;;;;;;;;;0.002;0.022;0;0.01;0.017;0.039;0.005;0.042;7.93;126.5;166.3
1978-01;-0.079;-0.079;-0.129;-0.115;-0.084;-0.1;-0.028;-0.099;-0.048;-0.029;-0.046;0.025;-0.008;-0.075;-0.054;-0.116;-0.047;-0.113;-0.069;-0.014;-0.112;-0.045;0.005;0.078;7.9;125.9;166.7
1978-02;0.013;-0.003;0.037;-0.019;-0.097;-0.063;-0.033;0.018;0.16;-0.043;-0.017;-0.073;-0.025;-0.004;-0.01;-0.135;-0.118;-0.073;0.02;-0.031;0.013;0.01;0.005;0.028;7.87;127.6;167.1
1978-03;0.07;0.022;0.003;0.059;0.063;0.01;0.07;-0.023;-0.036;-0.063;0.049;0.184;0.026;0.124;0.015;0.084;0.058;0.035;0.026;0.121;0.005;0.05;0.005;0.031;7.79;128.3;167.5
1978-04;0.12;-0.005;0.18;0.127;0.179;0.165;0.15;0.046;0.004;0.13;0.077;0.089;-0.008;0.055;0;0.144;0.144;0.155;-0.009;0.147;0.056;0.063;0.005;-0.045;7.86;128.7;168.2
1978-05;0.071;-0.014;0.061;0.005;0.052;0.038;-0.031;0.063;0.046;-0.018;-0.011;0.082;0.019;0.176;-0.029;-0.031;-0.047;0;-0.032;0.034;0.048;0.067;0.005;0.004;7.89;129.7;169.2
1978-06;-0.098;0.034;-0.059;0.007;-0.023;-0.021;0.023;0.008;0.028;-0.004;-0.043;0.019;0.032;-0.014;-0.025;0.005;-0.027;-0.03;-0.007;0;-0.098;0.007;0.005;0.043;7.99;129.8;170.1
1978-07;0.14;0.011;0.066;0.032;0.143;0.107;0.185;0.075;-0.012;0.092;0.028;0.204;-0.014;0.194;0.042;0.164;0.071;0.078;0.044;0.087;-0.014;0.071;0.005;0.028;8.04;130.7;171.1
1978-08;0.078;0.024;0.033;0.088;0.026;-0.017;-0.021;-0.051;-0.079;0.049;0.056;0.031;0.045;0.222;0;0.039;0.043;0.037;-0.046;-0.025;0.095;0.079;0.006;0.09;8.03;131.3;171.9
1978-09;-0.059;0.048;-0.013;0.011;-0.031;-0.037;-0.081;-0.012;0.104;-0.051;0.064;0.075;0.061;-0.1;0.01;-0.021;0.04;0.03;0.035;-0.074;0.049;0.002;0.006;0.03;8.39;130.6;172.6
1978-10;-0.118;-0.067;-0.123;-0.071;-0.085;-0.077;-0.153;-0.032;-0.138;-0.046;-0.069;-0.25;-0.033;-0.206;-0.066;-0.09;-0.075;-0.061;-0.077;-0.061;-0.131;-0.189;0.007;0.072;8.46;130.2;173.3
