tsales;sales;margin;nown;nfull;npart;naux;hoursw;hourspw;inv1;inv2;ssize;start
750000;4411.7646;41;1;1;1;1.5357;76;16.755959;17166.666;27177.035;170;41
1926395;4280.8779;39;2;2;3;1.5357;192;22.493761;17166.666;27177.035;450;39
1250000;4166.6665;40;1;2;2.2221999;1.4091001;114;17.1912;292857.16;71570.555;300;40
694227;2670.1038;40;1;1;1.2833;1.3673;100;21.502602;22207.037;15000;260;40
750000;15000;44;2;1.9556;1.2833;1.3673;104;15.742787;22207.037;10000;50;44
400000;4444.4443;41;2;1.9556;1.2833;1.3673;72;10.898852;22207.037;22859.854;90;41
1300000;3250;39;1.2228;1;3;4;161;17.456738;22207.037;22859.854;400;39
495340;4953.3999;28;2;1.9556;1.2833;1.3673;80;12.109837;22207.037;22859.854;100;28
1200000;2666.6667;41;1;3;2.2221999;1.4091001;158;20.704205;292857.16;5000;450;41
495340;6604.5332;37;1;1.9556;1.2833;1;87;16.606539;22207.037;22859.854;75;37
911315;7594.2915;32;1;1;1;1.5357;156;34.39381;17166.666;27177.035;120;32
231000;5775;30;1;1.9556;1;1.3673;40;7.5147004;22207.037;5000;40;30
492033;5467.0332;39;1;2.2656;1;1.3333;96;17.146225;62269.23;16624.895;90;39
1500000;13636.363;37;1;5;1;1;305;38.125;62269.23;10000;110;37
330000;8250;34;1;2.2656;2.0741;1.3333;92;13.786902;62269.23;16624.895;40;34
870000;4350;44;1;1;1.2833;1.3673;80;17.202082;22207.037;12700;200;44
694227;7713.6333;33;1;1.9556;1;1.3673;124;23.295572;22207.037;22859.854;90;33
245228;3503.2571;49;1;1.9556;1.2833;1.3673;69;12.307802;22207.037;3500;70;49
375000;3947.3684;41;2;1.9556;1.2833;1.3673;60;9.0823774;22207.037;50000;95;41
330000;4714.2856;41;1;1.9556;1.2833;1.3673;65;11.594306;22207.037;22859.854;70;41
301133;2409.064;40;2;1.9556;1.2833;1.3673;86;13.018074;22207.037;2000;125;40
976817;5745.9824;44;1;2;1.5946;1.5357;116;18.922401;5000;15000;170;44
1500000;6000;45;1;5;3;1.4091001;270;25.938843;292857.16;71570.555;250;45
77369;1289.4833;21;1;1.9556;1.2833;1.3673;40;7.1349578;22207.037;22859.854;60;21
471000;4957.8945;39;1;1.9556;1.2833;2;99;15.868182;22207.037;22859.854;95;39
601000;3756.25;35;1;2;2.0741;1.3333;124;19.352623;62269.23;20000;160;35
976817;7235.6816;37;1;1;1.2833;3;120;19.098244;5000;22859.854;135;37
850000;15454.546;46;2;1.9556;1.2833;1.3673;136;20.586721;22207.037;22859.854;55;46
495340;4503.0908;39;1;2.2656;2.0741;1.3333;95;14.236475;5000;35000;110;39
694227;5785.2251;44;1;4.3590002;2;1.4091001;84;9.580183;292857.16;71570.555;120;44
156168;3470.3999;30;1;1.9556;1.2833;1.3673;50;8.9186974;22207.037;22859.854;45;30
