ID;FEMALE;MALE;ETHBLACK;ETHHISP;ETHWHITE;AGE;S;EDUCPROF;EDUCPHD;EDUCMAST;EDUCBA;EDUCAA;EDUCHSD;EDUCDO;SINGLE;MARRIED;DIVORCED;FAITHN;FAITHP;FAITHC;FAITHJ;FAITHO;ASVAB01;ASVAB02;ASVAB03;ASVAB04;ASVAB05;ASVAB06;ASVABC;HEIGHT;WEIGHT85;WEIGHT02;SM;SF;SIBLINGS;LIBRARY;POV78;EXP;EARNINGS;HOURS;TENURE;COLLBARG;CATGOV;CATPRI;CATSE;URBAN;REGNE;REGNC;REGW;REGS
3640;0;1;0;0;1;37;12;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;26;35;31;23;25;35;30.366463;69;145;205;9;10;3;1;0;17.557692;9;40;16.73077;0;1;0;0;0;0;1;0;0
277;0;1;0;0;1;42;12;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;56;42;47;47;52;59;45.087917;70;135;178;16;13;2;1;;21.423077;10;35;14.019231;0;0;1;0;1;1;0;0;0
5167;0;1;0;0;1;42;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;52;50;48;50;39;41;50.54031;70;170;195;11;8;3;0;0;23.173077;20.5;48;15.019231;0;0;1;0;1;0;0;1;0
2578;0;1;0;0;1;41;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;56;36;43;38;33;29;38.27243;69;167;183;12;12;10;0;0;20.923077;9.9700003;40;3.9423077;1;0;1;0;1;0;1;0;0
2998;0;1;0;0;1;41;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;56;50;59;53;41;44;54.356983;70;175;222;11;9;4;1;0;22.403847;12.3;50;4.6730771;0;0;1;0;1;0;0;0;1
3055;0;1;0;0;1;39;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;40;40;42;29;41;41;37.727192;75;165;175;12;8;2;0;0;15.576923;12.5;50;14.076923;0;0;1;0;0;1;0;0;0
5211;0;1;0;0;1;38;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;52;38;41;35;30;39;37.999809;74;170;210;12;7;3;1;0;15.942307;15;40;7.0769229;0;0;1;0;1;0;0;1;0
5344;0;1;0;0;1;38;16;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;56;49;54;50;47;35;51.630787;74;240;271;12;16;1;1;;15.25;13.71;54;7.2115383;0;0;1;0;1;0;1;0;0
1975;0;1;0;0;1;38;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;54;47;56;62;53;46;54.356983;64;140;155;12;12;4;0;0;13.807693;14.42;40;13.115385;0;0;1;0;0;0;1;0;0
3494;0;1;0;0;1;45;13;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;52;57;55;53;49;42;57.083179;69;215;230;12;12;3;1;0;17.903847;30;48;22.73077;1;0;1;0;1;0;1;0;0
4698;0;1;0;0;1;38;16;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;54;61;56;44;60;42;57.083179;71;195;190;14;12;1;1;0;15.096154;8.75;16;8.1538458;0;0;1;0;1;1;0;0;0
2419;0;1;0;0;1;39;10;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;40;45;30;38;37;44;39.635529;73;148;185;13;8;2;1;0;20.846153;20.889999;47;10.730769;0;0;1;0;1;0;0;0;1
3616;0;1;0;0;1;39;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;64;59;61;59;58;52;61.445091;72;150;150;12;9;3;0;0;18.423077;19.450001;40;8.4038458;0;0;1;0;0;0;1;0;0
417;0;1;0;0;1;41;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;60;47;61;53;41;44;53.266506;72;170;210;12;16;1;1;0;21.846153;19.23;40;7.3461537;1;1;0;0;1;1;0;0;0
269;0;1;0;0;1;43;16;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;62;61;57;59;48;50;61.445091;69;135;170;12;18;0;1;0;21.461538;86.529999;50;6.7692308;0;0;1;0;1;1;0;0;0
12044;0;1;0;0;1;40;18;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;46;40;51;56;47;45;47.541496;68;210;225;12;12;1;1;0;14.25;11.11;45;1.0769231;0;0;1;0;1;0;0;0;1
3932;0;1;1;0;0;40;12;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;38;40;43;47;43;43;42.906963;64;155;220;11;11;3;1;0;20.73077;23.07;40;12.307693;1;1;0;0;1;0;0;0;1
1837;0;1;0;1;0;45;13;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;44;45;38;44;49;51;43.452202;66;155;170;2;0;6;1;1;15.615385;12.98;40;8.1153851;1;0;1;0;0;0;0;1;0
1107;0;1;0;0;1;45;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;60;51;54;56;56;31;54.356983;71;195;210;12;16;0;1;0;23.26923;27.77;45;2;0;0;1;0;0;0;0;0;1
5017;0;1;0;0;1;42;14;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;64;65;61;50;61;72;62.262951;71;170;170;16;17;0;1;0;22.865385;38.040001;46;20.73077;0;0;1;0;1;0;0;0;1
3751;0;1;0;0;1;38;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;52;40;51;59;43;45;48.359352;74;195;240;12;12;3;1;1;20.923077;18.370001;45;5.4807692;0;0;1;0;2;0;1;0;0
5651;0;1;0;0;1;44;18;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;66;66;56;59;62;70;63.89867;75;230;235;16;17;2;1;0;19.98077;16.66;45;3.6923077;0;1;0;0;1;0;0;0;1
4707;0;1;0;0;1;37;12;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;64;53;52;44;44;45;51.630787;72;150;190;12;14;2;1;0;20.75;43.75;40;19.038462;1;0;1;0;1;0;1;0;0
847;0;1;1;0;0;43;16;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;50;46;47;50;51;44;48.086735;68;155;175;11;11;8;1;0;22.442308;35.709999;35;7.0576925;1;1;0;0;1;1;0;0;0
2191;0;1;0;0;1;44;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;56;54;51;47;42;42;52.721268;76;295;400;10;11;1;0;0;22.634615;11.32;45;2.1346154;0;0;1;0;1;0;0;0;1
2703;0;1;0;1;0;42;16;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;52;50;51;50;55;49;51.35817;67;155;175;5;6;8;1;1;20.788462;40.860001;40;.94230771;0;0;1;0;1;0;0;0;1
3777;0;1;0;0;1;42;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;56;54;56;53;54;51;55.720081;67;170;180;11;12;3;0;0;23.423077;21.629999;40;7.1923075;1;0;1;0;1;0;1;0;0
5187;0;1;0;0;1;41;13;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;54;53;56;50;60;46;54.356983;71;140;140;14;14;1;1;0;21.461538;12;50;6.4807692;0;0;1;0;1;0;0;1;0
4278;0;1;0;0;1;42;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;62;57;57;50;55;63;56.810562;72;225;260;12;12;6;1;0;23.307692;19.459999;40;14.769231;0;0;1;0;1;0;0;0;1
659;0;1;0;0;1;43;14;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;40;59;41;47;55;51;52.721268;74;165;210;12;16;5;1;0;17.903847;21;40;4.9615383;1;0;1;0;1;0;1;0;0
4829;0;1;0;0;1;39;16;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;60;62;57;59;53;49;61.990334;71;170;175;13;18;4;1;0;14.326923;30.76;60;14.269231;0;0;1;0;2;0;1;0;0
3591;0;1;0;0;1;41;12;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;50;61;52;59;58;49;60.081997;70;163;185;12;12;6;0;0;22.98077;26.82;38;21.038462;1;0;1;0;1;0;1;0;0
1471;0;1;0;0;1;44;8;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;44;47;42;35;43;47;43.179581;66;160;200;10;6;4;0;0;19.057692;25;40;.13461539;0;0;1;0;0;0;0;0;1
4770;0;1;0;0;1;38;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;44;57;43;47;49;51;52.176029;73;145;190;12;10;3;1;0;19.211538;13.95;40;13.634615;1;0;1;0;1;0;1;0;0
2475;0;1;0;0;1;39;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;62;54;52;56;62;54;55.447464;68;150;185;10;12;5;1;0;19.307692;17.799999;40;13.346154;0;0;1;0;0;0;1;0;0
2010;0;1;0;0;1;44;19;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;62;54;60;59;60;57;58.446278;74;170;180;16;18;1;0;0;17.961538;47;45;3.3269231;0;0;1;0;1;0;0;1;0
4879;0;1;0;0;1;44;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;58;53;59;59;53;39;57.628418;74;170;175;11;14;0;1;1;20.51923;10.37;40;8.3653851;0;0;1;0;1;0;1;0;0
4064;0;1;0;0;1;38;12;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;60;64;61;56;42;45;63.353432;73;200;250;12;12;1;1;0;18.692308;18.85;40;15.134615;1;0;1;0;1;0;0;0;1
874;0;1;0;0;1;38;18;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;56;62;59;62;52;55;63.353432;68;150;180;16;17;4;1;0;14.211538;23.07;60;13.730769;1;1;0;0;1;0;1;0;0
3493;0;1;0;0;1;44;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;62;58;56;53;47;51;57.901039;70;200;300;10;10;3;1;0;20.384615;14;40;3.9423077;0;0;1;0;1;0;0;0;1
1851;0;1;0;1;0;43;14;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;48;54;51;50;48;50;53.539127;68;147;170;8;4;3;1;0;12.653846;24.030001;20;3.2307692;0;0;1;0;1;0;0;1;0
2845;0;1;0;0;1;39;20;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;66;66;61;59;62;45;65.261765;69;155;150;17;20;3;1;0;10.942307;25.98;37;5.2692308;1;1;0;0;1;0;0;0;1
4468;0;1;0;0;1;43;13;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;66;55;59;53;51;52;57.083179;72;200;250;12;16;2;1;0;18.25;29.5;40;6.1346154;1;0;1;0;1;0;0;1;0
4799;0;1;0;0;1;40;18;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;68;66;60;59;44;45;64.989151;69;225;230;12;8;2;1;0;8.75;15.5;40;4.7115383;1;1;0;0;1;0;1;0;0
3172;0;1;0;0;1;43;20;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;66;66;60;62;62;63;65.807007;68;137;145;16;20;2;1;;15.923077;3.3599999;60;11.096154;1;0;1;0;1;0;1;0;0
4068;0;1;0;0;1;39;8;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;36;38;34;35;28;30;36.091473;69;160;175;10;12;7;1;1;14.788462;12;45;1.6923077;0;0;1;0;0;0;0;0;1
5307;0;1;0;0;1;42;12;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;44;38;48;47;40;39;43.179581;73;190;210;10;6;6;0;1;21.423077;12.19;40;18.596153;0;0;1;0;0;0;1;0;0
4335;0;1;0;0;1;42;11;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;50;39;48;32;31;35;39.635529;72;168;205;11;11;2;1;0;22.711538;14.67;40;2.2884614;0;1;0;0;1;0;0;1;0
5029;0;1;0;0;1;40;16;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;68;66;61;62;62;68;66.079628;72;170;165;14;16;1;1;0;17.576923;52.849998;55;9.5384617;0;0;1;0;1;0;0;0;1
4412;0;1;0;1;0;39;12;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;46;40;37;38;35;43;38.817669;69;178;235;12;8;5;1;0;16.5;13.4;40;14.25;0;0;1;0;1;0;0;1;0
653;0;1;0;0;1;42;18;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;66;66;59;59;57;56;64.71653;69;155;155;16;13;0;0;0;17.923077;29.01;51;7.5384617;0;1;0;0;1;0;1;0;0
825;0;1;0;0;1;44;17;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;64;59;61;59;62;53;61.445091;70;175;180;16;16;2;1;0;18.961538;29.049999;45;17.923077;0;0;1;0;1;0;0;1;0
3829;0;1;0;0;1;43;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;52;47;60;53;44;50;52.993885;69;235;310;9;10;0;1;0;23.288462;37.779999;57;14.884615;0;0;1;0;0;0;0;0;1
3390;0;1;1;0;0;42;20;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;64;66;57;53;62;65;62.535572;69;185;240;17;17;2;1;0;16.384615;30.549999;45;2.6923077;0;0;1;0;1;0;1;0;0
5604;0;1;0;0;1;42;9;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;22;35;24;29;27;25;30.093842;65;200;196;9;10;3;1;0;20.865385;12.75;50;1.75;1;1;0;0;0;0;0;0;1
5207;0;1;0;0;1;43;14;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;52;59;54;56;46;32;58.718899;75;295;245;9;12;3;1;0;3.7115386;5.5;58;.59615386;0;0;1;0;1;0;0;1;0
5235;0;1;0;0;1;38;14;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;44;46;39;23;40;41;38.545048;72;185;250;10;12;3;1;0;17.634615;25.58;40;4.9807692;1;1;0;0;1;0;0;1;0
1188;0;1;0;0;1;39;15;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;58;62;52;56;56;47;59.809376;69;180;190;12;12;2;1;0;18.038462;16.530001;50;13.557693;0;0;1;0;0;0;0;0;1
392;0;1;0;0;1;42;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;64;65;59;62;52;56;64.989151;70;215;230;11;12;3;1;0;22.5;19.23;40;24.826923;0;0;1;0;1;1;0;0;0
1788;0;1;0;0;1;37;12;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;48;58;51;53;53;53;56.537941;70;135;150;12;12;2;1;0;16.288462;20.02;38;5.3269229;0;0;1;0;1;0;0;1;0
1085;0;1;0;0;1;41;12;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;60;47;60;56;46;48;53.811745;72;175;213;8;12;1;0;0;18.557692;14;50;3.3461537;0;0;1;0;0;0;0;0;1
1527;0;1;1;0;0;45;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;28;35;28;29;39;31;31.18432;68;143;165;11;10;6;0;0;21.365385;12;40;16.615385;1;1;0;0;1;0;0;0;1
2330;0;1;0;0;1;40;14;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;58;50;56;59;40;45;55.174843;74;150;185;12;12;1;1;0;19.923077;22.290001;44;17.461538;0;1;0;0;1;0;0;0;1
1612;0;1;0;0;1;40;15;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;58;49;57;56;55;55;54.084366;71;210;246;12;12;3;1;0;10.788462;8;40;.057692308;0;0;1;0;1;0;0;1;0
146;0;1;0;0;1;38;12;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;62;65;57;53;46;46;61.990334;68;165;175;12;12;3;1;0;13.884615;18.799999;45;3.0192308;0;0;1;0;1;0;0;0;1
4552;0;1;0;0;1;38;15;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;60;53;50;59;61;39;55.174843;72;158;190;12;12;1;1;0;11.75;18.09;51;2.7115386;0;0;1;0;0;0;0;1;0
2291;0;1;0;0;1;37;16;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;64;66;56;59;62;57;63.89867;74;180;205;17;16;1;1;0;16.076923;29.450001;47;7.3076925;0;0;1;0;0;0;0;0;1
3059;0;1;0;0;1;45;12;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;54;36;44;50;46;47;41.816483;71;190;210;12;12;5;0;0;23.038462;21.389999;40;7.5961537;1;0;1;0;0;1;0;0;0
2122;0;1;0;0;1;43;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;46;43;33;32;20;29;37.727192;71;204;207;10;10;2;0;0;15.326923;9.8000002;50;12.769231;0;0;1;0;0;0;0;0;1
3431;0;1;0;0;1;38;17;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;68;66;61;59;49;54;65.261765;70;160;185;16;16;6;1;0;16.096153;47;45;13.942307;0;0;1;0;1;0;1;0;0
5586;0;1;0;0;1;41;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;46;43;48;41;56;55;44.270061;68;146;172;12;9;1;1;0;21.903847;15.55;45;3.4423077;0;0;1;0;0;0;0;0;1
4159;0;1;0;0;1;41;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;54;36;54;41;43;41;42.089104;71;200;218;14;14;1;1;0;23.25;14.8;50;2.8269231;0;0;1;0;1;0;0;0;1
1859;0;1;0;0;1;44;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;50;55;47;53;53;53;53.811745;72;195;200;12;12;5;0;0;20.23077;16.610001;40;11.596154;1;0;1;0;0;1;0;0;0
3706;0;1;0;0;1;45;13;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;54;53;56;50;50;40;54.356983;72;170;235;12;12;4;1;0;23;20.190001;50;1.7692307;0;0;1;0;1;0;0;1;0
3690;0;1;0;0;1;40;18;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;66;65;59;59;52;48;64.171288;66;165;210;20;20;1;1;1;14.057693;52.880001;40;14.057693;1;1;0;0;1;0;0;0;1
393;0;1;0;0;1;39;13;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;58;62;56;44;51;50;57.628418;72;190;225;11;12;3;1;0;18.384615;25;50;3.2884614;0;0;1;0;1;1;0;0;0
1887;0;1;0;0;1;41;12;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;42;35;31;29;32;35;32.002178;67;158;160;8;9;3;1;1;21.538462;7.54;36;.86538464;0;0;1;0;1;1;0;0;0
2086;0;1;0;0;1;43;12;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;46;50;47;53;43;44;51.085548;71;158;160;12;12;6;1;0;23.076923;11.78;44;4.7884617;0;0;1;0;1;0;1;0;0
1677;0;1;0;0;1;39;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;52;54;51;59;51;46;55.992702;67;135;165;13;13;5;1;;18.538462;25.5;40;16.634615;1;0;1;0;1;0;0;1;0
3310;0;1;1;0;0;39;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;38;40;35;50;37;42;41.543865;72;160;220;12;12;0;0;0;18.653847;13.94;40;2.6153846;0;0;1;0;1;1;0;0;0
