Time,Code,Y,FSANL,FSCD,FSEIM,FSERA
2002,Spain,5.72,,,,
2002,Israel,4.5,,115.0723753,64.28165026,0.230327193
2003,Spain,5.657,,,,
2003,Israel,4.136,,115.0652825,63.17237762,0.633143128
2004,Spain,6.3,,,,
2004,Israel,4.42,,117.6453094,63.07226359,0.951649911
2005,United_States,6.67,,,,
2005,United_Kingdom,6.07,,,49.9101794,0.950948947
2005,Denmark,6.84,,33.38255065,,
2005,Germany,3.92,4.05,71.84269379,68.22724109,0.484762095
2005,Italy,3.56,6.996173137,78.20310069,50.63863493,0.598185853
2005,Canada,6.41,0.500042107,108.8216338,45.21930574,1.026290274
2005,Finland,5.84,,69.26885325,58.75486381,
2005,Ireland,6.45,0.480366744,,58.50893486,0.845881871
2005,Portugal,3.17,,66.36553999,51.82341729,0.975415067
2005,Spain,5.44,0.79436611,77.54674208,55.62378666,0.954898209
2005,Turkey,5.3,4.315898503,149.1694458,56.70354895,2.677175359
2005,Australia,7.64,0.564555137,,41.84773906,1.75873613
2005,Argentina,4.13,7.606646772,163.3536866,19.20205876,1.149232192
2005,Brazil,5.01,3.525531791,,76.88838582,2.387906056
2005,Israel,5.88,,115.6955518,62.19493378,1.083044443
2005,Indonesia,3.82,7.333013324,151.3105827,64.43300926,2.351753548
2005,Malaysia,6.53,9.390239522,,58.73041982,1.249696239
2006,United_States,7.22,,,,
2006,Austria,5.58,2.739429392,75.93885272,71.35206095,0.715719551
2006,Belgium,5.32,1.280164157,91.28989162,43.14268618,0.719278789
2006,Denmark,7.16,,31.51121757,,
2006,Germany,4.59,3.41,75.18209217,68.19966177,0.456109013
2006,Italy,3.82,6.568114576,77.53555845,51.85522915,0.7745164
2006,Sweden,5.72,0.10462464,,48.88240758,1.015913311
2006,Canada,6.38,0.420357682,107.7018462,42.15453986,1.26172303
2006,Finland,6.02,,64.58697928,50.90311987,1.431529296
2006,Ireland,6.68,0.534720753,,50.05273536,0.811791227
2006,Portugal,3.28,,62.79536584,51.97820193,1.277962572
2006,Spain,5.3,0.701194506,71.46372553,53.09153478,1.091107206
2006,Turkey,5.41,3.580986837,132.2368518,63.38353074,3.317552329
2006,Australia,7.39,0.574054009,,44.89027638,1.707502903
2006,Argentina,4.43,4.456543481,168.3273833,18.71749993,2.158337938
