"Code";"Year";"F1";"F2";"F3";"F4";"F5";"F6";"inst"
"AUS";2000;1.51;1.26;1.77;1.6;1.7;1.96;1.84424235059031
"AUS";2001;1.465;1.185;1.735;1.52;1.725;1.855;1.62037873552197
"AUS";2002;1.42;1.11;1.7;1.44;1.75;1.75;1.39651512045362
"AUS";2003;1.43;0.85;1.81;1.58;1.84;1.94;1.65111863229068
"AUS";2004;1.52;0.92;2.04;1.73;1.81;2.1;2.15491457311881
"AUS";2005;1.52;0.88;1.77;1.6;1.71;1.97;1.66984165952193
"AUS";2006;1.42;0.92;1.76;1.62;1.75;1.99;1.64008815754857
"AUS";2007;1.4;0.93;1.82;1.68;1.74;2.04;1.74593819107677
"AUS";2008;1.4;0.95;1.78;1.76;1.75;2.07;1.82593367631426
"AUS";2009;1.4;0.83;1.7;1.82;1.73;2.08;1.75263659958372
"AUS";2010;1.44;0.87;1.77;1.69;1.76;2.04;1.74207524045021
"AUS";2011;1.48;0.93;1.7;1.85;1.74;2.08;1.92130059104701
"AUS";2012;1.5;1;1.61;1.77;1.75;2;1.79982591529975
"AUS";2013;1.44;1.02;1.62;1.79;1.75;1.76;1.65078306842095
"AUT";2000;1.34;0.79;1.95;1.49;1.81;1.95;1.53056904458377
"AUT";2001;1.32;1.035;1.96;1.525;1.835;2.02;1.73259494762782
"AUT";2002;1.3;1.28;1.97;1.56;1.86;2.09;1.93462085067187
"AUT";2003;1.29;0.95;2.02;1.54;1.86;2.1;1.77673624201911
"AUT";2004;1.46;1.07;1.91;1.54;1.85;2.15;1.94823334930127
"AUT";2005;1.35;1.1;1.72;1.62;1.86;1.96;1.69581666838023
"AUT";2006;1.41;1.08;1.82;1.65;1.91;1.99;1.90061894430003
"AUT";2007;1.4;1.28;1.87;1.7;1.96;2.1;2.17227810669664
"AUT";2008;1.4;1.34;1.77;1.61;1.93;1.92;1.927581189591
"AUT";2009;1.42;1.17;1.67;1.46;1.79;1.76;1.45828749814933
"AUT";2010;1.47;1.12;1.84;1.47;1.81;1.63;1.56534267647994
"AUT";2011;1.43;1.18;1.61;1.39;1.81;1.44;1.20938293782262
"AUT";2012;1.46;1.32;1.56;1.51;1.84;1.35;1.36446523276385
"AUT";2013;1.46;1.34;1.57;1.48;1.83;1.51;1.42988453406125
"BEL";2000;1.39;1.05;1.78;1.18;1.28;1.46;0.658150617778809
"BEL";2001;1.39;1.11;1.885;1.23;1.3;1.455;0.826785636608379
"BEL";2002;1.39;1.17;1.99;1.28;1.32;1.45;0.995420655437948
"BEL";2003;1.46;0.84;1.96;1.29;1.32;1.38;0.84605404562394
"BEL";2004;1.45;0.7;1.92;1.37;1.31;1.35;0.787405900748585
"BEL";2005;1.41;0.78;1.74;1.25;1.24;1.34;0.484523436529662
"BEL";2006;1.36;0.85;1.72;1.32;1.2;1.25;0.446711635058322
"BEL";2007;1.38;0.77;1.61;1.42;1.31;1.3;0.544251072521425
"BEL";2008;1.35;0.62;1.38;1.39;1.33;1.32;0.261325005455168
"BEL";2009;1.36;0.79;1.59;1.32;1.36;1.43;0.527434329141689
"BEL";2010;1.38;0.78;1.58;1.29;1.37;1.49;0.544829513009127
"BEL";2011;1.34;0.93;1.66;1.24;1.4;1.56;0.65163994080282
"BEL";2012;1.35;0.9;1.59;1.22;1.4;1.55;0.569861240910225
"BEL";2013;1.37;0.92;1.59;1.29;1.4;1.63;0.709188410886759
"CAN";2000;1.59;1.1;1.95;1.49;1.68;2.23;1.99738322208752
"CAN";2001;1.56;1.12;1.95;1.525;1.67;2.17;1.97240019719219
"CAN";2002;1.53;1.14;1.95;1.56;1.66;2.11;1.94741717229686
"CAN";2003;1.53;1.03;2.01;1.53;1.7;2.04;1.89838664633196
"CAN";2004;1.68;0.85;1.96;1.64;1.7;1.85;1.92593896153693
"CAN";2005;1.5;0.79;1.91;1.56;1.66;1.86;1.57553110229591
"CAN";2006;1.44;0.99;1.92;1.55;1.79;1.96;1.76146547416454
"CAN";2007;1.4;0.97;1.75;1.6;1.79;1.98;1.64258330118894
"CAN";2008;1.43;1.01;1.77;1.64;1.8;1.99;1.75918274797493
"CAN";2009;1.43;1.1;1.75;1.7;1.81;2.08;1.90247858642947
"CAN";2010;1.38;0.9;1.79;1.69;1.81;2.1;1.77881398823867
"CAN";2011;1.41;1.06;1.78;1.68;1.74;2;1.77283332045152
"CAN";2012;1.44;1.09;1.75;1.69;1.75;1.92;1.77144163639233
"CAN";2013;1.46;1.03;1.77;1.71;1.74;1.87;1.76135101084661
