T,unem
2000Q1,12.10
2000Q2,10.60
2000Q3,9.90
2000Q4,9.80
2001Q1,10.00
2001Q2,9.00
2001Q3,8.60
2001Q4,8.80
2002Q1,8.50
2002Q2,7.80
2002Q3,7.40
2002Q4,8.30
2003Q1,9.30
2003Q2,8.70
2003Q3,8.30
2003Q4,8.30
2004Q1,9.10
2004Q2,8.00
2004Q3,7.40
2004Q4,8.10
2005Q1,8.30
2005Q2,7.50
2005Q3,7.20
2005Q4,7.40
2006Q1,7.80
2006Q2,7.50
2006Q3,6.80
2006Q4,6.70
2007Q1,7.00
2007Q2,6.20
2007Q3,5.70
2007Q4,5.70
2008Q1,6.70
2008Q2,5.80
2008Q3,5.80
2008Q4,6.90
2009Q1,8.90
2009Q2,8.70
2009Q3,8.00
2009Q4,7.90
2010Q1,8.60
2010Q2,7.60
2010Q3,6.70
2010Q4,6.70
2011Q1,7.40
2011Q2,6.60
2011Q3,6.10
2011Q4,6.10
2012Q1,6.30
2012Q2,5.50
2012Q3,5.10
2012Q4,5.10
2013Q1,5.70
2013Q2,5.40
2013Q3,5.30
2013Q4,5.40
2014Q1,5.60
2014Q2,5.10
2014Q3,4.90
2014Q4,5.10
2015Q1,5.60
