                        l            q            k
nbr.val        299.000000 2.990000e+02 2.990000e+02
nbr.null         0.000000 0.000000e+00 0.000000e+00
nbr.na           0.000000 0.000000e+00 0.000000e+00
min              3.000000 4.000000e+01 7.300000e+01
max           1585.000000 2.808219e+06 1.750796e+06
range         1582.000000 2.808179e+06 1.750723e+06
sum          63338.000000 6.160296e+07 3.347044e+07
median         145.000000 1.253030e+05 5.964000e+04
mean           211.832776 2.060300e+05 1.119413e+05
SE.mean         13.510047 1.704772e+04 1.063959e+04
CI.mean.0.95    26.587185 3.354918e+04 2.093825e+04
var          54573.891405 8.689683e+10 3.384707e+10
std.dev        233.610555 2.947827e+05 1.839757e+05
coef.var         1.102806 1.430776e+00 1.643502e+00
